timstamp,x,y,z
2025-06-06 01:49:40.082,0.9814453125,-0.03955078125,-0.0435791015625
2025-06-06 01:49:40.096,0.9810791015625,-0.039306640625,-0.0433349609375
2025-06-06 01:49:40.097,0.98193359375,-0.0386962890625,-0.043212890625
2025-06-06 01:49:40.097,0.981201171875,-0.03857421875,-0.04345703125
2025-06-06 01:49:40.111,0.9810791015625,-0.0396728515625,-0.0435791015625
2025-06-06 01:49:40.126,0.9808349609375,-0.038330078125,-0.0428466796875
2025-06-06 01:49:40.127,0.9820556640625,-0.0391845703125,-0.0433349609375
2025-06-06 01:49:40.197,0.9813232421875,-0.038330078125,-0.042724609375
2025-06-06 01:49:40.198,0.9814453125,-0.0396728515625,-0.043212890625
2025-06-06 01:49:40.199,0.9814453125,-0.039306640625,-0.04296875
2025-06-06 01:49:40.257,0.981201171875,-0.0391845703125,-0.04345703125
2025-06-06 01:49:40.258,0.9818115234375,-0.038818359375,-0.04248046875
2025-06-06 01:49:40.259,0.981689453125,-0.03857421875,-0.0426025390625
2025-06-06 01:49:40.317,0.981689453125,-0.0394287109375,-0.042236328125
2025-06-06 01:49:40.318,0.981689453125,-0.039306640625,-0.0418701171875
2025-06-06 01:49:40.318,0.98193359375,-0.039306640625,-0.04296875
2025-06-06 01:49:40.377,0.9822998046875,-0.0390625,-0.042236328125
2025-06-06 01:49:40.378,0.9814453125,-0.038818359375,-0.04248046875
2025-06-06 01:49:40.379,0.9798583984375,-0.0382080078125,-0.0435791015625
2025-06-06 01:49:40.437,0.9813232421875,-0.03955078125,-0.0430908203125
2025-06-06 01:49:40.438,0.980712890625,-0.0396728515625,-0.04248046875
2025-06-06 01:49:40.438,0.9810791015625,-0.0394287109375,-0.0423583984375
2025-06-06 01:49:40.497,0.9808349609375,-0.0389404296875,-0.04296875
2025-06-06 01:49:40.498,0.981201171875,-0.0389404296875,-0.04296875
2025-06-06 01:49:40.498,0.9815673828125,-0.0389404296875,-0.042724609375
2025-06-06 01:49:40.557,0.9818115234375,-0.039794921875,-0.0430908203125
2025-06-06 01:49:40.558,0.981689453125,-0.0390625,-0.0428466796875
2025-06-06 01:49:40.558,0.9815673828125,-0.039794921875,-0.0430908203125
2025-06-06 01:49:40.617,0.9814453125,-0.0389404296875,-0.042724609375
2025-06-06 01:49:40.618,0.9818115234375,-0.039306640625,-0.04296875
2025-06-06 01:49:40.618,0.9813232421875,-0.038330078125,-0.0426025390625
2025-06-06 01:49:40.677,0.980712890625,-0.039306640625,-0.0423583984375
2025-06-06 01:49:40.678,0.9813232421875,-0.0391845703125,-0.0416259765625
2025-06-06 01:49:40.679,0.9810791015625,-0.03955078125,-0.042724609375
2025-06-06 01:49:40.737,0.9820556640625,-0.038818359375,-0.0428466796875
2025-06-06 01:49:40.738,0.9818115234375,-0.0390625,-0.04248046875
2025-06-06 01:49:40.739,0.980712890625,-0.0389404296875,-0.0419921875
2025-06-06 01:49:40.798,0.9814453125,-0.0396728515625,-0.04248046875
2025-06-06 01:49:40.799,0.9815673828125,-0.0391845703125,-0.0433349609375
2025-06-06 01:49:40.800,0.981201171875,-0.0390625,-0.0419921875
2025-06-06 01:49:40.857,0.9814453125,-0.03955078125,-0.042724609375
2025-06-06 01:49:40.858,0.9820556640625,-0.0390625,-0.04248046875
